word,canonical
a,a
al,a
algún,algún
alguna,alguno
algunas,alguno
alguno,alguno
algunos,alguno
ante,ante
aquel,aquel
aquella,aquel
aquellas,aquel
aquellos,aquel
aunque,aunque
bajo,bajo
bastante,bastante
bastantes,bastante
cabe,cabe
como,como
con,con
conmigo,conmigo
contigo,contigo
contra,contra
cuando,cuando
de,de
del,de
demasiada,demasiado
demasiadas,demasiado
demasiado,demasiado
demasiados,demasiado
desde,desde
e,e
el,el
él,él
ella,él
ellas,él
ellos,él
embargo,embargo
en,en
entre,entre
esa,ese
ésa,ese
esas,ese
ésas,ese
ese,ese
ése,ese
esos,ese
ésos,ese
esta,ese
ésta,este
estas,ese
éstas,este
este,ese
éste,este
estos,ese
éstos,este
hacia,hacia
hasta,hasta
la,el
las,el
le,le
les,le
lo,lo
los,los
me,me
mi,mi
mí,mi
mía,mi
mías,mi
mientras,mientras
mío,mi
míos,mi
mis,mi
mucha,mucho
muchas,mucho
mucho,mucho
muchos,mucho
ni,ni
ningún,ningún
ninguna,ningún
ninguno,ningún
no,no
nos,nos
nosotras,nosotras
nosotros,nosotros
nuestra,nuestro
nuestras,nuestro
nuestro,nuestro
nuestros,nuestro
o,o
ó,o
os,os
para,para
pero,pero
poca,poco
pocas,poco
poco,poco
pocos,poco
por,por
porque,porque
pues,pues
que,que
se,se
según,según
si,si
sin,sin
so,so
sobre,sobre
su,su
sus,su
suya,suyo
suyas,suyo
suyo,suyo
suyos,suyo
tanta,tanto
tantas,tanto
tanto,tanto
tantos,tanto
te,su
tí,tí
toda,todo
todas,todo
todo,todo
todos,todo
tras,tras
tu,tu
tú,tú
tus,tu
tuya,tuyo
tuyas,tuyo
tuyo,tuyo
tuyos,tuyo
un,un
una,un
unas,un
uno,un
unos,un
usted,usted
ustedes,usted
vosotras,vosotras
vosotros,vosotros
vuestra,vuestro
vuestras,vuestro
vuestro,vuestro
vuestros,vuestro
y,y
yo,yo
ha,haber
habed,haber
habéis,haber
habemos,haber
haber,haber
había,haber
habíais,haber
habíamos,haber
habían,haber
habías,haber
habido,haber
habiendo,haber
habrá,haber
habrán,haber
habrás,haber
habré,haber
habréis,haber
habremos,haber
habría,haber
habríais,haber
habríamos,haber
habrían,haber
habrías,haber
han,haber
has,haber
hay,haber
haya,haber
hayáis,haber
hayamos,haber
hayan,haber
hayas,haber
he,haber
hemos,haber
hube,haber
hubiera,haber
hubierais,haber
hubiéramos,haber
hubieran,haber
hubieras,haber
hubiere,haber
hubiereis,haber
hubiéremos,haber
hubieren,haber
hubieres,haber
hubieron,haber
hubiese,haber
hubieseis,haber
hubiésemos,haber
hubiesen,haber
hubieses,haber
hubimos,haber
hubiste,haber
hubisteis,haber
hubo,haber
ser,ser
siendo,ser
sido,ser
soy,ser
eres,ser
es,es
somos,ser
sois,ser
son,ser
era,ser
eras,ser
éramos,ser
erais,ser
eran,ser
fui,ser
fuiste,ser
fue,ser
fuimos,ser
fuisteis,ser
fueron,ser
seré,ser
serás,ser
será,ser
seremos,ser
seréis,ser
serán,ser
sería,ser
serías,ser
seríamos,ser
seríais,ser
serían,ser
sea,ser
seas,ser
seamos,ser
seáis,ser
sean,ser
fuera,ser
fuese,ser
fueras,ser
fueses,ser
fuéramos,ser
fuésemos,ser
fuerais,ser
fueseis,ser
fueran,ser
fuesen,ser
fuere,ser
fueres,ser
fuéremos,ser
fuereis,ser
fueren,ser
sé,ser
sed,ser
debiendo,deber
debido,deber
debo,deber
debes,deber
debe,deber
debemos,deber
debéis,deber
deben,deber
debía,deber
debías,deber
debíamos,deber
debíais,deber
debían,deber
debí,deber
debiste,deber
debió,deber
debimos,deber
debisteis,deber
debieron,deber
deberé,deber
deberás,deber
deberá,deber
deberemos,deber
deberéis,deber
deberán,deber
debería,deber
deberías,deber
deberíamos,deber
deberíais,deber
deberían,deber
deba,deber
debas,deber
debamos,deber
debáis,deber
deban,deber
debiera,deber
debiese,deber
debieras,deber
debieses,deber
debiéramos,deber
debiésemos,deber
debierais,deber
debieseis,deber
debieran,deber
debiesen,deber
debiere,deber
debieres,deber
debiéremos,deber
debiereis,deber
debieren,deber
debed,deber
estar,estar
estando,estar
estado,estar
estoy,estar
estás,estar
está,estar
estamos,estar
estáis,estar
están,estar
estaba,estar
estabas,estar
estábamos,estar
estabais,estar
estaban,estar
estuve,estar
estuviste,estar
estuvo,estar
estuvimos,estar
estuvisteis,estar
estuvieron,estar
estaré,estar
estarás,estar
estará,estar
estaremos,estar
estaréis,estar
estarán,estar
estaría,estar
estarías,estar
estaríamos,estar
estaríais,estar
estarían,estar
esté,estar
estés,estar
estemos,estar
estéis,estar
estén,estar
estuviera,estar
estuviese,estar
